"Days","mean.Gross.","mean.TotalGross.","mean.as.numeric.Rank..","Title"
"1",1,23.3310023333333,23.3310023333333,1,"Shailene Woodley"
"2",2,17.406723,40.7377253333333,1.33333333333333,"Shailene Woodley"
"3",3,10.8869246666667,51.62465,1.33333333333333,"Shailene Woodley"
"4",4,3.943936,55.568586,1,"Shailene Woodley"
"5",5,4.32053366666667,59.8891196666667,1,"Shailene Woodley"
"6",6,3.351458,63.2405776666667,1,"Shailene Woodley"
"7",7,3.11078833333333,66.351366,1,"Shailene Woodley"
"8",8,7.11510933333333,73.4664753333333,2.66666666666667,"Shailene Woodley"
"9",9,8.920771,82.3872463333333,3.33333333333333,"Shailene Woodley"
"10",10,4.613049,87.0002953333333,3.66666666666667,"Shailene Woodley"
"11",11,1.880129,88.8804243333333,2.66666666666667,"Shailene Woodley"
"12",12,2.251075,91.1314993333333,3,"Shailene Woodley"
"13",13,1.82706833333333,92.9585676666667,3,"Shailene Woodley"
"14",14,1.88886133333333,94.847429,3.33333333333333,"Shailene Woodley"
"15",15,3.769959,98.617388,4.66666666666667,"Shailene Woodley"
"16",16,4.251779,102.869167,NA,"Shailene Woodley"
"17",17,2.53454133333333,105.403708333333,NA,"Shailene Woodley"
"18",18,1.16453533333333,106.568243666667,4.66666666666667,"Shailene Woodley"
"19",19,1.35727733333333,107.925521,4.66666666666667,"Shailene Woodley"
"20",20,1.08323466666667,109.008755666667,4.66666666666667,"Shailene Woodley"
"21",21,1.031297,110.040052666667,4.66666666666667,"Shailene Woodley"
"22",22,2.09197333333333,112.132026,6,"Shailene Woodley"
"23",23,2.644833,114.776859,6.33333333333333,"Shailene Woodley"
"24",24,1.58233325,92.47758325,6.75,"Shailene Woodley"
"25",25,1.02530375,93.502887,6.25,"Shailene Woodley"
"26",26,0.914697,94.417584,7,"Shailene Woodley"
"27",27,0.57359825,94.99118225,6.75,"Shailene Woodley"
"28",28,0.65010675,95.641289,7,"Shailene Woodley"
"29",29,1.111421,96.75271,8.5,"Shailene Woodley"
"30",30,1.38714375,98.13985375,8,"Shailene Woodley"
"31",31,0.9986135,99.13846725,9.75,"Shailene Woodley"
"32",1,69.106893,69.106893,1,"Jennifer Lawrence"
"33",2,51.5067625,120.6136555,1,"Jennifer Lawrence"
"34",3,34.691361,155.3050165,1,"Jennifer Lawrence"
"35",4,11.572755,166.8777715,1,"Jennifer Lawrence"
"36",5,13.1542535,180.032025,1,"Jennifer Lawrence"
"37",6,14.4299075,194.4619325,1,"Jennifer Lawrence"
"38",7,11.5625145,206.024447,1,"Jennifer Lawrence"
"39",8,18.9160133333333,156.636767333333,NA,"Jennifer Lawrence"
"40",9,20.082216,176.718983333333,NA,"Jennifer Lawrence"
"41",10,11.614303,188.333286333333,NA,"Jennifer Lawrence"
"42",11,3.9625225,276.3523015,1,"Jennifer Lawrence"
"43",12,4.6671005,281.019402,1,"Jennifer Lawrence"
"44",13,3.813291,284.832693,1,"Jennifer Lawrence"
"45",14,4.6693675,289.5020605,1,"Jennifer Lawrence"
"46",15,8.99187,215.493243666667,2,"Jennifer Lawrence"
"47",16,12.4701355,312.260001,1.5,"Jennifer Lawrence"
"48",17,6.890781,319.150782,1.5,"Jennifer Lawrence"
"49",18,3.35895666666667,235.849199333333,NA,"Jennifer Lawrence"
"50",19,3.341769,239.190968333333,NA,"Jennifer Lawrence"
"51",20,3.38360633333333,242.574574666667,2,"Jennifer Lawrence"
"52",21,2.39890933333333,244.973484,2.33333333333333,"Jennifer Lawrence"
"53",22,4.89112333333333,249.864607333333,NA,"Jennifer Lawrence"
"54",23,6.85931533333333,256.723922666667,NA,"Jennifer Lawrence"
"55",24,3.97379366666667,260.697716333333,NA,"Jennifer Lawrence"
"56",25,1.25254733333333,261.950263666667,3,"Jennifer Lawrence"
"57",26,1.52790033333333,263.478164,2.66666666666667,"Jennifer Lawrence"
"58",27,1.29036,264.768524,2.33333333333333,"Jennifer Lawrence"
"59",28,1.337204,266.105728,2.33333333333333,"Jennifer Lawrence"
"60",29,3.03047966666667,269.136207666667,NA,"Jennifer Lawrence"
"61",30,4.57217933333333,273.708387,NA,"Jennifer Lawrence"
"62",31,2.97490466666667,276.683291666667,NA,"Jennifer Lawrence"
"63",1,21.9654805,21.9654805,1,"Divergent"
"64",2,19.769757,41.7352375,1,"Divergent"
"65",3,11.700476,53.4357135,1,"Divergent"
"66",4,3.36816,56.8038735,1,"Divergent"
"67",5,3.979375,60.7832485,1,"Divergent"
"68",6,2.942726,63.7259745,1,"Divergent"
"69",7,2.813441,66.5394155,1,"Divergent"
"70",8,7.492751,74.0321665,2.5,"Divergent"
"71",9,10.5105765,84.542743,2.5,"Divergent"
"72",10,5.5741,90.116843,2.5,"Divergent"
"73",11,1.666305,91.783148,2.5,"Divergent"
"74",12,2.055973,93.839121,2.5,"Divergent"
"75",13,1.6239535,95.4630745,2.5,"Divergent"
"76",14,1.7439025,97.206977,3,"Divergent"
"77",15,4.094627,101.301604,4,"Divergent"
"78",16,4.7817015,106.0833055,3.5,"Divergent"
"79",17,2.6752355,108.758541,4,"Divergent"
"80",18,1.030823,109.789364,4,"Divergent"
"81",19,1.156369,110.945733,4,"Divergent"
"82",20,0.871373,111.817106,4,"Divergent"
"83",21,0.870464,112.68757,4,"Divergent"
"84",22,2.21391,114.90148,5.5,"Divergent"
"85",23,3.0986145,118.0000945,5.5,"Divergent"
"86",24,1.7329545,119.733049,6,"Divergent"
"87",25,0.534721,120.26777,6,"Divergent"
"88",26,0.779814,121.047584,6.5,"Divergent"
"89",27,0.5914605,121.6390445,6,"Divergent"
