"X","Rank","PreviousRank","Gross","Change","Theaters","PerTheater","TotalGross","Days","Title","Studio","date","Lifetime.Gross"
"1",0,"1",NA,9.705," ","2,463",3940,9.705,1,"Saving Private Ryan","Dreamworks SKG","1998-07-24",216540909
"2",1,"1",1,11.17,"+15%","2,453",4554,20.875,2,"Saving Private Ryan","Dreamworks SKG","1998-07-25",216540909
"3",2,"1",1,9.613,"-14%","2,453",3919,30.576104,3,"Saving Private Ryan","Dreamworks SKG","1998-07-26",216540909
"4",3,"1",1,5.231469,"-46%","2,463",2124,35.807573,4,"Saving Private Ryan","Dreamworks SKG","1998-07-27",216540909
"5",4,"1",1,5.035992,"-4%","2,463",2045,40.843565,5,"Saving Private Ryan","Dreamworks SKG","1998-07-28",216540909
"6",5,"1",1,4.573049,"-9%","2,463",1857,45.416614,6,"Saving Private Ryan","Dreamworks SKG","1998-07-29",216540909
"7",6,"1",1,4.343746,"-5%","2,463",1764,49.76036,7,"Saving Private Ryan","Dreamworks SKG","1998-07-30",216540909
"8",7,"1",1,7.005,"+61%","2,540",2758,56.765,8,"Saving Private Ryan","Dreamworks SKG","1998-07-31",216540909
"9",8,"1",1,9.245,"+32%","2,540",3640,66.01,9,"Saving Private Ryan","Dreamworks SKG","1998-08-01",216540909
"10",9,"1",1,7.407,"-20%","2,540",2916,73.362,10,"Saving Private Ryan","Dreamworks SKG","1998-08-02",216540909
"11",10,"1",1,3.411506,"-54%","2,540",1343,76.773667,11,"Saving Private Ryan","Dreamworks SKG","1998-08-03",216540909
"12",11,"1",1,3.408625,"n/c","2,540",1342,80.182292,12,"Saving Private Ryan","Dreamworks SKG","1998-08-04",216540909
"13",12,"2",1,3.143228,"-8%","2,540",1237,83.32552,13,"Saving Private Ryan","Dreamworks SKG","1998-08-05",216540909
"14",13,"2",2,3.047457,"-3%","2,540",1200,86.372977,14,"Saving Private Ryan","Dreamworks SKG","1998-08-06",216540909
"15",14,"3",2,5.015023,"+65%","2,592",1935,91.388,15,"Saving Private Ryan","Dreamworks SKG","1998-08-07",216540909
"16",15,"1",3,7.015,"+40%","2,592",2706,98.403,16,"Saving Private Ryan","Dreamworks SKG","1998-08-08",216540909
"17",16,"1",1,5.567,"-21%","2,592",2148,103.770977,17,"Saving Private Ryan","Dreamworks SKG","1998-08-09",216540909
"18",17,"1",1,2.407287,"-57%","2,592",929,106.178264,18,"Saving Private Ryan","Dreamworks SKG","1998-08-10",216540909
"19",18,"1",1,2.455024,"+2%","2,592",947,108.633288,19,"Saving Private Ryan","Dreamworks SKG","1998-08-11",216540909
"20",19,"1",1,2.211841,"-10%","2,592",853,110.845129,20,"Saving Private Ryan","Dreamworks SKG","1998-08-12",216540909
"21",20,"1",1,2.032746,"-8%","2,592",784,112.877875,21,"Saving Private Ryan","Dreamworks SKG","1998-08-13",216540909
"22",21,"3",1,3.485,"+71%","2,654",1313,116.363,22,"Saving Private Ryan","Dreamworks SKG","1998-08-14",216540909
"23",22,"1",3,5.662,"+62%","2,654",2133,122.025,23,"Saving Private Ryan","Dreamworks SKG","1998-08-15",216540909
"24",23,"1",1,4.011,"-29%","2,654",1511,126.036694,24,"Saving Private Ryan","Dreamworks SKG","1998-08-16",216540909
"25",24,"1",1,1.752267,"-56%","2,654",660,127.788961,25,"Saving Private Ryan","Dreamworks SKG","1998-08-17",216540909
"26",25,"1",1,1.851187,"+6%","2,654",698,129.639148,26,"Saving Private Ryan","Dreamworks SKG","1998-08-18",216540909
"27",26,"1",1,1.541023,"-17%","2,654",581,131.180171,27,"Saving Private Ryan","Dreamworks SKG","1998-08-19",216540909
"28",27,"1",1,1.425822,"-7%","2,654",537,132.605993,28,"Saving Private Ryan","Dreamworks SKG","1998-08-20",216540909
"29",28,"2",1,2.69,"+89%","2,671",1007,135.296,29,"Saving Private Ryan","Dreamworks SKG","1998-08-21",216540909
"30",29,"2",2,4.33,"+61%","2,671",1621,139.626,30,"Saving Private Ryan","Dreamworks SKG","1998-08-22",216540909
"31",30,"2",2,3.1,"-28%","2,671",1161,142.726,31,"Saving Private Ryan","Dreamworks SKG","1998-08-23",216540909
"32",31,"1",NA,32.333203," ","3,672",8805,32.333203,1,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-16",317575550
"33",32,"1",1,33.512941,"+4%","3,672",9127,65.846144,2,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-17",317575550
"34",33,"1",1,24.448477,"-27%","3,672",6658,90.294621,3,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-18",317575550
"35",34,"1",1,6.643,"-73%","3,672",1809,96.937,4,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-19",317575550
"36",35,"1",1,7.654,"+15%","3,672",2084,104.591,5,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-20",317575550
"37",36,"1",1,12.655,"+65%","3,672",3446,117.246,6,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-21",317575550
"38",37,"1",1,12.32,"-3%","3,672",3355,129.566,7,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-22",317575550
"39",38,"1",1,22.987,"+87%","3,672",6260,152.478,8,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-23",317575550
"40",39,"1",1,21.088,"-8%","3,672",5743,173.566,9,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-24",317575550
"41",40,"1",1,13.413,"-36%","3,672",3653,186.978513,10,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-25",317575550
"42",41,"1",1,2.526,"-81%","3,672",688,189.505,11,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-26",317575550
"43",42,"1",1,2.383,"-6%","3,672",649,191.888,12,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-27",317575550
"44",43,"1",1,2.066,"-13%","3,672",563,193.954,13,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-28",317575550
"45",44,"1",1,2.073,"n/c","3,672",565,196.027,14,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-29",317575550
"46",45,"2",1,5.906,"+185%","3,672",1608,201.933,15,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-11-30",317575550
"47",46,"1",2,10.354,"+75%","3,672",2820,212.287,16,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-12-01",317575550
"48",47,"1",1,7.121,"-31%","3,672",1939,219.670289,17,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-12-02",317575550
"49",48,"1",1,1.261,"-82%","3,672",343,220.932,18,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-12-03",317575550
"50",49,"1",1,1.411,"+12%","3,672",384,222.343,19,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-12-04",317575550
"51",50,"1",1,1.305,"-8%","3,672",355,223.648,20,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-12-05",317575550
"52",51,"1",1,1.236,"-5%","3,672",337,224.884,21,"Harry Potter and the Sorcerer's Stone","Warner Bros.","2001-12-06",317575550
